"goods_id"	"brand_id"	"goods_name"	"image"	"price"	"remaining"	"status"	"description"	"image2"	"image3"	"image4"	"image5"
"151"	"3"	"Gigabyte AORUS GeForce RTX 3080"	"http://127.0.0.1:4444/static/AORUS 3080-1.png"	"7999"	"500"	"0"	"CUDA: 8704  Core Clock: 1905 MHz  Memory: 10G"	"http://127.0.0.1:4444/static/AORUS 3080-2.png"	"http://127.0.0.1:4444/static/AORUS 3080-3.png"		
"152"	"3"	"Gigabyte AORUS GeForce RTX 3070"	"http://127.0.0.1:4444/static/AORUS 3070-1.png"	"5999"	"500"	"0"	"CUDA: 5888  Core Clock: 1845 MHz  Memory: 8G"	"http://127.0.0.1:4444/static/AORUS 3070-2.png"	"http://127.0.0.1:4444/static/AORUS 3070-3.png"		
"153"	"3"	"Gigabyte AORUS GeForce RTX 3060Ti"	"http://127.0.0.1:4444/static/AORUS 3060ti-1.png"	"4599"	"500"	"0"	"CUDA: 4864  Core Clock: 1800 MHz  Memory: 8G"	"http://127.0.0.1:4444/static/AORUS 3060ti-2.png"	"http://127.0.0.1:4444/static/AORUS 3060ti-3.png"		
"154"	"3"	"Gigabyte AORUS GeForce RTX 3060"	"http://127.0.0.1:4444/static/AORUS 3060-1.png"	"3599"	"500"	"0"	"CUDA: 3584  Core Clock: 1837 MHz  Memory: 12G"	"http://127.0.0.1:4444/static/AORUS 3060-2.png"	"http://127.0.0.1:4444/static/AORUS 3060-3.png"		
"156"	"3"	"Gigabyte AORUS GeForce GTX 1060"	"http://127.0.0.1:4444/static/AORUS 1060-1.png"	"1799"	"500"	"0"	"CUDA: 1147  Core Clock: 1785MHz  Memory: 6G"	"http://127.0.0.1:4444/static/AORUS 1060-2.png"	"http://127.0.0.1:4444/static/AORUS 1060-3.png"		
"158"	"3"	"GIGABYTE GeForce RTX 3060Ti GAMING OC"	"http://127.0.0.1:4444/static/GAMING 3060ti-1.png"	"4299"	"500"	"0"	"CUDA: 3584  Core Clock: 1837 MHz  Memory: 12G"	"http://127.0.0.1:4444/static/GAMING 3060ti-2.png"	"http://127.0.0.1:4444/static/GAMING 3060ti-3.png"		
"159"	"3"	"GIGABYTE GeForce RTX 3080 GAMING OC"	"http://127.0.0.1:4444/static/GAMING 3080-1.png"	"6999"	"500"	"0"	"CUDA: 8704  Core Clock: 1800 MHz  Memory: 10G"	"http://127.0.0.1:4444/static/GAMING 3070-2.png"	"http://127.0.0.1:4444/static/GAMING 3070-3.png"		
"160"	"3"	"GIGABYTE GeForce RTX 3070 GAMING OC"	"http://127.0.0.1:4444/static/GAMING 3070-1.png"	"5399"	"500"	"0"	"CUDA: 5888  Core Clock: 1815 MHz  Memory: 8G"	"http://127.0.0.1:4444/static/GAMING 3070-2.png"	"http://127.0.0.1:4444/static/GAMING 3070-3.png"		
"161"	"3"	"GIGABYTE AORUS Radeon RX 6800XT"	"http://127.0.0.1:4444/static/AORUS 6800xt-1.png"	"6999"	"500"	"0"	"Stream Processors: 4608  Core Clock: 1845 MHz  Memory: 16G"	"http://127.0.0.1:4444/static/AORUS 6800xt-2.png"	"http://127.0.0.1:4444/static/AORUS 6800xt-3.png"		
"162"	"3"	"GIGABYTE Radeon RX 6900XT GAMING OC"	"http://127.0.0.1:4444/static/GAMING 6900xt-1.png"	"9599"	"500"	"0"	"Stream Processors: 5120  Core Clock: 2050 MHz  Memory: 16G"	"http://127.0.0.1:4444/static/GAMING 6900xt-2.png"	"http://127.0.0.1:4444/static/GAMING 6900xt-3.png"		
